epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,7702.26,1.20135,0.99113,1.25027,0.80635,0.68317,0.75223,0.40362,1.65761,1.1463,1.46109,0.000676802,0.000676802,0.000676802
62,7849.96,1.20072,0.96721,1.24373,0.80574,0.66337,0.74224,0.39388,1.60142,1.19951,1.43334,0.000660299,0.000660299,0.000660299
63,8040.9,1.16442,0.97828,1.21643,0.75957,0.65842,0.72706,0.39514,1.64815,1.16097,1.48955,0.000643795,0.000643795,0.000643795
64,8232.43,1.2297,0.9732,1.26492,0.79453,0.66337,0.75943,0.39537,1.62137,1.1398,1.46933,0.000627292,0.000627292,0.000627292
65,8420.29,1.16617,0.90962,1.22077,0.70154,0.71287,0.71604,0.39077,1.5814,1.20388,1.42843,0.000610789,0.000610789,0.000610789
66,8601.49,1.21106,0.97176,1.22938,0.74883,0.71782,0.73071,0.37933,1.61705,1.18271,1.44806,0.000594286,0.000594286,0.000594286
67,8778.35,1.1714,0.91732,1.23171,0.72346,0.67822,0.72238,0.39425,1.60303,1.16122,1.41483,0.000577782,0.000577782,0.000577782
68,8957.47,1.14991,0.91191,1.21767,0.74296,0.69307,0.72237,0.39672,1.64156,1.12431,1.46835,0.000561279,0.000561279,0.000561279
69,9130.51,1.14066,0.88714,1.21849,0.79773,0.66337,0.73115,0.39527,1.60462,1.13226,1.43063,0.000544776,0.000544776,0.000544776
70,9308.23,1.14053,0.87706,1.19652,0.77413,0.63861,0.72843,0.39164,1.64487,1.16403,1.446,0.000528272,0.000528272,0.000528272
71,9484.61,1.14743,0.86347,1.19645,0.70933,0.67652,0.70371,0.39592,1.63335,1.17618,1.42792,0.000511769,0.000511769,0.000511769
72,9663.64,1.17088,0.91286,1.1987,0.80397,0.64356,0.72727,0.3871,1.6051,1.12145,1.42496,0.000495266,0.000495266,0.000495266
73,9833.19,1.16318,0.89314,1.21461,0.72523,0.61411,0.67084,0.35847,1.64751,1.28903,1.45531,0.000478762,0.000478762,0.000478762
74,10003.5,1.17601,0.88553,1.21334,0.72526,0.67955,0.72334,0.38846,1.61423,1.11917,1.43839,0.000462259,0.000462259,0.000462259
75,10174,1.12185,0.89499,1.20029,0.7457,0.66779,0.7069,0.3806,1.64819,1.16307,1.46288,0.000445756,0.000445756,0.000445756
76,10337.7,1.11037,0.84927,1.19049,0.78762,0.72772,0.76879,0.41365,1.60779,1.04072,1.45107,0.000429253,0.000429253,0.000429253
77,10504.4,1.12264,0.87827,1.18785,0.82183,0.67327,0.75896,0.411,1.6238,1.05845,1.42636,0.000412749,0.000412749,0.000412749
78,10671.7,1.11139,0.86529,1.18657,0.77817,0.69802,0.74204,0.40097,1.62269,1.08885,1.43034,0.000396246,0.000396246,0.000396246
79,10842.1,1.14072,0.83953,1.2039,0.80943,0.67285,0.76137,0.41329,1.62199,1.08306,1.42299,0.000379743,0.000379743,0.000379743
80,11207.9,1.0768,0.81189,1.15965,0.7232,0.68552,0.71791,0.40836,1.5932,1.08742,1.43239,0.000363239,0.000363239,0.000363239
81,11527.1,1.1425,0.8812,1.22927,0.71706,0.71514,0.74058,0.41116,1.57808,1.08248,1.43524,0.000346736,0.000346736,0.000346736
82,11795.8,1.117,0.87883,1.20623,0.76726,0.68546,0.74432,0.4106,1.59876,1.11163,1.43178,0.000330233,0.000330233,0.000330233
83,11887.7,1.08268,0.84337,1.16819,0.73843,0.73762,0.7552,0.41457,1.56953,1.0548,1.43451,0.000313729,0.000313729,0.000313729
84,12309.3,1.11308,0.82219,1.20618,0.73773,0.71287,0.7367,0.40243,1.58565,1.12529,1.41748,0.000297226,0.000297226,0.000297226
85,12404.2,1.06227,0.80345,1.17139,0.77543,0.69307,0.74548,0.40499,1.56255,1.07401,1.40983,0.000280723,0.000280723,0.000280723
86,12546.5,1.07601,0.8212,1.18679,0.79444,0.67327,0.7549,0.41389,1.56714,1.08631,1.40534,0.00026422,0.00026422,0.00026422
87,12728.7,1.0844,0.80564,1.17046,0.79545,0.67327,0.74433,0.41288,1.57278,1.08035,1.3986,0.000247716,0.000247716,0.000247716
88,12912.3,1.0734,0.82043,1.17235,0.69481,0.70297,0.74237,0.40058,1.59927,1.09585,1.41534,0.000231213,0.000231213,0.000231213
89,13085.6,1.07415,0.84122,1.16408,0.82292,0.66718,0.7491,0.41324,1.58965,1.06604,1.41398,0.00021471,0.00021471,0.00021471
90,13250.5,1.05233,0.79715,1.16364,0.80724,0.67327,0.7656,0.41593,1.59739,1.00661,1.43886,0.000198206,0.000198206,0.000198206
91,13414.6,1.06727,0.77147,1.16393,0.7611,0.68317,0.74555,0.41542,1.57364,1.02527,1.42782,0.000181703,0.000181703,0.000181703
92,13577.5,1.06163,0.76245,1.15818,0.80488,0.68812,0.75604,0.42169,1.56313,1.02468,1.42913,0.0001652,0.0001652,0.0001652
93,13741.8,1.0331,0.71282,1.16436,0.8137,0.71353,0.77521,0.43208,1.54959,0.99171,1.41587,0.000148696,0.000148696,0.000148696
94,13902.7,1.01678,0.70206,1.14332,0.82393,0.70792,0.77433,0.43578,1.5497,0.9916,1.41038,0.000132193,0.000132193,0.000132193
95,14061.6,0.99047,0.70683,1.12459,0.81315,0.72772,0.77265,0.42752,1.56209,1.00653,1.41368,0.00011569,0.00011569,0.00011569
96,14221.6,0.97907,0.69979,1.11833,0.80821,0.73267,0.75967,0.42331,1.55958,1.02571,1.40825,9.91865e-05,9.91865e-05,9.91865e-05
97,14383.4,0.9735,0.66955,1.12315,0.8472,0.68619,0.7598,0.42381,1.56018,1.0401,1.41456,8.26832e-05,8.26832e-05,8.26832e-05
98,14537.6,0.9891,0.68,1.12878,0.84335,0.70297,0.76036,0.42386,1.56108,1.03556,1.41494,6.61799e-05,6.61799e-05,6.61799e-05
99,14693.2,0.96117,0.65894,1.10102,0.81397,0.71782,0.76597,0.42329,1.55892,1.02066,1.42069,4.96766e-05,4.96766e-05,4.96766e-05
100,14849.1,0.96247,0.66185,1.11194,0.81541,0.71782,0.76396,0.42274,1.58023,1.00324,1.43963,3.31733e-05,3.31733e-05,3.31733e-05
